"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Mar 16 16:01:18 UTC 2026","Mon Mar 16 16:01:29 UTC 2026","11409","","Header and Footer Navigation Links","","Verify site logo and tagline are displayed in the header","","Verify site logo and tagline are displayed in the header","  As a user visiting the Sauce Demo site
  I want all header and footer links to be visible and navigate to the correct pages
  So that I can browse the site without broken or misdirected links"
"passed","Mon Mar 16 16:01:49 UTC 2026","Mon Mar 16 16:02:02 UTC 2026","13174","","Footer Navigation and Content Verification","","Clicking the ""Sauce"" link in the footer About Us section navigates to the Sauce external site","","Clicking the ""Sauce"" link in the footer About Us section navigates to the Sauce external site",""
"skipped","Mon Mar 16 16:03:05 UTC 2026","Mon Mar 16 16:03:06 UTC 2026","1164","","Header and Footer Navigation Links","","Instagram icon links to the correct external URL","","Instagram icon links to the correct external URL","  As a user visiting the Sauce Demo site
  I want all header and footer links to be visible and navigate to the correct pages
  So that I can browse the site without broken or misdirected links"
"broken","Mon Mar 16 16:01:52 UTC 2026","Mon Mar 16 16:02:03 UTC 2026","11417","","Header and Footer Navigation Links","","Clicking ""Home"" in the side navigation navigates to the Homepage","","Clicking ""Home"" in the side navigation navigates to the Homepage","  As a user visiting the Sauce Demo site
  I want all header and footer links to be visible and navigate to the correct pages
  So that I can browse the site without broken or misdirected links"
"passed","Mon Mar 16 16:00:54 UTC 2026","Mon Mar 16 16:01:02 UTC 2026","8760","","Add Product to Cart","","View first product details","","View first product details",""
"skipped","Mon Mar 16 16:03:06 UTC 2026","Mon Mar 16 16:03:07 UTC 2026","1119","","Header and Footer Navigation Links","","Pinterest icon links to the correct external URL","","Pinterest icon links to the correct external URL","  As a user visiting the Sauce Demo site
  I want all header and footer links to be visible and navigate to the correct pages
  So that I can browse the site without broken or misdirected links"
"broken","Mon Mar 16 16:02:38 UTC 2026","Mon Mar 16 16:02:50 UTC 2026","11382","","Footer Navigation and Content Verification","","Clicking ""Shopping Cart by Shopify"" link navigates to the Shopify external page","","Clicking ""Shopping Cart by Shopify"" link navigates to the Shopify external page",""
"skipped","Mon Mar 16 16:03:01 UTC 2026","Mon Mar 16 16:03:03 UTC 2026","1499","","Header and Footer Navigation Links","","Verify social media icons are displayed in the side navigation","","Verify social media icons are displayed in the side navigation","  As a user visiting the Sauce Demo site
  I want all header and footer links to be visible and navigate to the correct pages
  So that I can browse the site without broken or misdirected links"
"broken","Mon Mar 16 16:01:11 UTC 2026","Mon Mar 16 16:01:23 UTC 2026","11604","","Footer Navigation and Content Verification","","Verify footer navigation displays all expected links","","Verify footer navigation displays all expected links",""
"broken","Mon Mar 16 16:02:04 UTC 2026","Mon Mar 16 16:02:16 UTC 2026","11634","","Footer Navigation and Content Verification","","Verify footer bottom bar displays the correct copyright text","","Verify footer bottom bar displays the correct copyright text",""
"failed","Mon Mar 16 16:01:31 UTC 2026","Mon Mar 16 16:01:52 UTC 2026","21365","","Header and Footer Navigation Links","","Verify side navigation displays all expected links","","Verify side navigation displays all expected links","  As a user visiting the Sauce Demo site
  I want all header and footer links to be visible and navigate to the correct pages
  So that I can browse the site without broken or misdirected links"
"passed","Mon Mar 16 16:01:03 UTC 2026","Mon Mar 16 16:01:05 UTC 2026","2007","","Header and Footer Navigation Links","","Clicking ""Search"" in the top navigation bar navigates to the Search page","","Clicking ""Search"" in the top navigation bar navigates to the Search page","  As a user visiting the Sauce Demo site
  I want all header and footer links to be visible and navigate to the correct pages
  So that I can browse the site without broken or misdirected links"
"broken","Mon Mar 16 16:02:50 UTC 2026","Mon Mar 16 16:03:01 UTC 2026","11633","","Header and Footer Navigation Links","","Clicking ""Refer a friend"" in the side navigation stays on the same page","","Clicking ""Refer a friend"" in the side navigation stays on the same page","  As a user visiting the Sauce Demo site
  I want all header and footer links to be visible and navigate to the correct pages
  So that I can browse the site without broken or misdirected links"
"broken","Mon Mar 16 16:03:01 UTC 2026","Mon Mar 16 16:03:14 UTC 2026","13120","","Footer Navigation and Content Verification","","Clicking ""About Us"" in the footer bottom bar navigates to the About Us page","","Clicking ""About Us"" in the footer bottom bar navigates to the About Us page",""
"broken","Mon Mar 16 16:02:27 UTC 2026","Mon Mar 16 16:02:38 UTC 2026","11531","","Footer Navigation and Content Verification","","Verify ""Shopping Cart by Shopify"" link is displayed in the footer bottom bar","","Verify ""Shopping Cart by Shopify"" link is displayed in the footer bottom bar",""
"broken","Mon Mar 16 16:02:03 UTC 2026","Mon Mar 16 16:02:15 UTC 2026","11487","","Header and Footer Navigation Links","","Clicking ""Catalog"" in the side navigation navigates to the Products page","","Clicking ""Catalog"" in the side navigation navigates to the Products page","  As a user visiting the Sauce Demo site
  I want all header and footer links to be visible and navigate to the correct pages
  So that I can browse the site without broken or misdirected links"
"passed","Mon Mar 16 16:01:09 UTC 2026","Mon Mar 16 16:01:10 UTC 2026","1863","","Header and Footer Navigation Links","","Clicking ""Sign up"" in the top navigation bar navigates to the Create Account page","","Clicking ""Sign up"" in the top navigation bar navigates to the Create Account page","  As a user visiting the Sauce Demo site
  I want all header and footer links to be visible and navigate to the correct pages
  So that I can browse the site without broken or misdirected links"
